Facility Name,Health Facility Type
SIAY BARANGAY HEALTH STATION,Barangay Health Station
SIOCON DISTRICT HOSPITAL,Infirmary
SIOCON RURAL HEALTH UNIT,Rural Health Unit
TIBANGAO BARANGAY HEALTH STATION,Barangay Health Station
CULASIAN BARANGAY HEALTH STATION,Barangay Health Station
DOÑA CECILIA BARANGAY HEALTH STATION,Barangay Health Station
GUBAN BARANGAY HEALTH STATION,Barangay Health Station
PIACAN BARANGAY HEALTH STATION,Barangay Health Station
POBLACION BARANGAY HEALTH STATION,Barangay Health Station
SAINT MARY BARANGAY HEALTH STATION,Barangay Health Station
SIRAWAI RURAL HEALTH UNIT,Rural Health Unit
CAMUL BARANGAY HEALTH STATION,Barangay Health Station
GALINGON BARANGAY HEALTH STATION,Barangay Health Station
MOLOS BARANGAY HEALTH STATION,Barangay Health Station
POBLACION TAMPILISAN BARANGAY HEALTH STATION,Barangay Health Station
SITUBO BARANGAY HEALTH STATION,Barangay Health Station
TAMPILISAN RURAL HEALTH UNIT,Rural Health Unit
TAMPILISAN RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
AIMCOOP DIAGNOSTIC LABORATORY,General Clinical Laboratory
AIMCOOP DIAGNOSTIC LABORATORY,Drug Testing Laboratory
ALEGRIA BARANGAY HEALTH STATION,Barangay Health Station
ANONANG BARANGAY HEALTH STATION,Barangay Health Station
AURORA COMMUNITY AND EMERGENCY (ACE) HOSPITAL,Infirmary
AURORA RURAL HEALTH UNIT,Rural Health Unit
AURORA RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
CABILINAN BARANGAY HEALTH STATION,Barangay Health Station
COMMONWEALTH BARANGAY HEALTH STATION,Barangay Health Station
LAGARE EMERGENCY CLINIC,Infirmary
LANTUNGAN BARANGAY HEALTH STATION,Barangay Health Station
LINTUGOP BARANGAY HEALTH STATION,Barangay Health Station
LUMANTAS LYING-IN MEDICAL CLINIC,Birthing Home
MAHAYAHAY BARANGAY HEALTH STATION,Barangay Health Station
MONTE ALEGRE BARANGAY HEALTH STATION,Barangay Health Station
POBLACION BARANGAY HEALTH STATION,Barangay Health Station
ROMARATE BARANGAY HEALTH STATION,Barangay Health Station
SAN JOSE BARANGAY HEALTH STATION,Barangay Health Station
SAPA LOBOC BARANGAY HEALTH STATION,Barangay Health Station
BAKING BARANGAY HEALTH STATION,Barangay Health Station
BALUKBAHAN BARANGAY HEALTH STATION,Barangay Health Station
BAYOG RURAL HEALTH UNIT,Rural Health Unit
BAYOG RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
BOBUAN BARANGAY HEALTH STATION,Barangay Health Station
CANOAYAN BARANGAY HEALTH STATION,Barangay Health Station
CONACON BARANGAY HEALTH STATION,Barangay Health Station
DAMIT BARANGAY HEALTH STATION,Barangay Health Station
DEPASE BARANGAY HEALTH STATION,Barangay Health Station
KAHAYAGAN BARANGAY HEALTH STATION,Barangay Health Station
LAMARE BARANGAY HEALTH STATION,Barangay Health Station
LIBA BARANGAY HEALTH STATION,Barangay Health Station
MATIN-AO BARANGAY HEALTH STATION,Barangay Health Station
POBLACION BARANGAY HEALTH STATION,Barangay Health Station
SALAWAGAN BARANGAY HEALTH STATION,Barangay Health Station
SUPON BARANGAY HEALTH STATION,Barangay Health Station
AISAH MEDICAL HOSPITAL,Hospital
BALANGASAN MAIN HEALTH CENTER,Rural Health Unit
BANALE BARANGAY HEALTH STATION,Barangay Health Station
BLESSED MOTHER BIRTHING HOME,Birthing Home
BUENAVISTA HEALTH CENTER,Barangay Health Station
BULATOK BARANGAY HEALTH STATION,Barangay Health Station
DANLUGAN BARANGAY HEALTH STATION,Barangay Health Station
DAO BARANGAY HEALTH STATION,Barangay Health Station
DITORAY BARANGAY HEALTH STATION,Barangay Health Station
DUMAGOC BARANGAY HEALTH STATION,Barangay Health Station
GATAS BARANGAY HEALTH STATION,Barangay Health Station
GUBANG BARANGAY HEALTH STATION,Barangay Health Station
HER CHOICE BIRTHING HOME,Birthing Home
HOFILEÑA HOSPITAL,Drug Testing Laboratory
HOFILEÑA HOSPITAL,Hospital
I-CARE BIRTHING HOME CLINIC,Birthing Home
"J. CABAHUG GENERAL HOSPITAL, INC.",Hospital
JAMELARIN HOSPITAL,Hospital
KAWIT HEALTH CENTER,Barangay Health Station
LA SUERTE BARANGAY HEALTH STATION,Barangay Health Station
LALA BARANGAY HEALTH STATION,Barangay Health Station
LENIENZA HEALTH CENTER,Barangay Health Station
LIZON VALLEY BARANGAY HEALTH STATION,Barangay Health Station
LOURDES BARANGAY HEALTH STATION,Barangay Health Station
LOWER SIBATANG BARANGAY HEALTH STATION,Barangay Health Station
LUMBIA BARANGAY HEALTH STATION,Barangay Health Station
MAMA'S LOVE BIRTHING HOME,Birthing Home
"METRO PAGADIAN SPECIALIST HOSPITAL, INC.",Hospital
MOM'S BIRTHING HOME AND FAMILY PLANNING CLINIC,Birthing Home
MOTHER AND BABY CARE LYING IN CLINIC,Birthing Home
NAPOLAN HEALTH CENTER,Barangay Health Station
"NEPHROLOGY CENTER OF PAGADIAN CITY DIALYSIS, INC.",Dialysis Clinic
OBCARE LYING-IN CLINIC,Birthing Home
PAGADIAN CITY DIALYSIS CLINIC,Dialysis Clinic
PAGADIAN CITY HEALTH OFFICE,Rural Health Unit
PAGADIAN CITY HEALTH OFFICE LYING IN CLINIC,Birthing Home
PAGADIAN CITY INFIRMARY,Infirmary
PAGADIAN CITY MEDICAL CENTER,Hospital
PAGADIAN DOCTORS HOSPITAL,Hospital
PARTERA BIRTHING HOME,Birthing Home
PDC DIAGNOSTIC CENTER,Drug Testing Laboratory
POLOYAGAN BARANGAY HEALTH STATION,Barangay Health Station
RACWELL MEDICAL CLINIC AND LABORATORY,Drug Testing Laboratory
SAINT MARY'S LYING-IN CLINIC,Birthing Home
SAN FRANCISCO BARANGAY HEALTH STATION,Barangay Health Station
SAN JOSE MAIN HEALTH CENTER,Rural Health Unit
SAN PEDRO MAIN HEALTH CENTER,Rural Health Unit
SANTA LUCIA MAIN HEALTH CENTER,Rural Health Unit
SANTA LUCIA MAIN HEALTH CENTER,Birthing Home
SANTA MARIA BARANGAY HEALTH STATION,Barangay Health Station
SANTIAGO HEALTH CENTER,Barangay Health Station
SANTO NIÑO BARANGAY HEALTH STATION,Barangay Health Station
ST. MARGARET MATERNITY CLINIC,Birthing Home
TAWAGAN SUR BARANGAY HEALTH STATION,Barangay Health Station
"THE KIDNEY CLINIC, INC.",Dialysis Clinic
TIGUMA HEALTH CENTER,Barangay Health Station
TUBURAN HEALTH CENTER,Barangay Health Station
WELL FAMILY MIDWIFE CLINIC,Birthing Home
ZAMBOANGA DEL SUR MEDICAL CENTER,Hospital
ZAMBOANGA DEL SUR MEDICAL CENTER PCR LABORATORY,COVID-19 Testing Laboratory
ZAMBOANGA DEL SUR PROVINCIAL DEPARTMENT OF HEALTH OFFICE,Provincial Department of Health Office
ZDS MULTI LABORATORY,Drug Testing Laboratory
BINUAY BARANGAY HEALTH STATION,Barangay Health Station
BUBURAY BARANGAY HEALTH STATION,Barangay Health Station
DIMATALING RURAL HEALTH UNIT,Rural Health Unit
DIMATALING RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
KAGAWASAN BARANGAY HEALTH STATION,Barangay Health Station
LIBERTAD BARANGAY HEALTH STATION,Barangay Health Station
POBLACION BARANGAY HEALTH STATION,Barangay Health Station
SALOAGAN BARANGAY HEALTH STATION,Barangay Health Station
TINIGUANGAN BARANGAY HEALTH STATION,Barangay Health Station
BENUATAN BARANGAY HEALTH STATION,Barangay Health Station
CHAVEZ MEDICAL CLINIC,Infirmary
DINAS RURAL HEALTH UNIT,Rural Health Unit
DINAS RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
DON JOSE BARANGAY HEALTH STATION,Barangay Health Station
GUINICOLALAY BARANGAY HEALTH STATION,Barangay Health Station
LEGARDA DOS BARANGAY HEALTH STATION,Barangay Health Station
POBLACION BARANGAY HEALTH STATION,Barangay Health Station
PROPER DIMAYA Barangay Health Station,Barangay Health Station
SAGACAD BARANGAY HEALTH STATION,Barangay Health Station
SUMPOTAN BARANGAY HEALTH STATION,Barangay Health Station
BIBILIK BARANGAY HEALTH STATION,Barangay Health Station
DUMALINAO RURAL HEALTH UNIT,Rural Health Unit
MATAB-ANG BARANGAY HEALTH STATION,Barangay Health Station
PAG-ASA BARANGAY HEALTH STATION,Barangay Health Station
REBOKON BARANGAY HEALTH STATION,Barangay Health Station
SEBUCAO BARANGAY HEALTH STATION,Barangay Health Station
SUMADAT BARANGAY HEALTH STATION,Barangay Health Station
UPPER DUMALINAO BARANGAY HEALTH STATION,Barangay Health Station
BAG-ONG VALENCIA BARANGAY HEALTH STATION,Barangay Health Station
DATU TOTOCAN BARANGAY HEALTH STATION,Barangay Health Station
DULOP BARANGAY HEALTH STATION,Barangay Health Station
DUMINGAG RURAL HEALTH UNIT,Rural Health Unit
DUMINGAG RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
GUITRAN BARANGAY HEALTH STATION,Barangay Health Station
LIPAWAN BARANGAY HEALTH STATION,Barangay Health Station
MACASING BARANGAY HEALTH STATION,Barangay Health Station
MAHAYAHAY BARANGAY HEALTH STATION,Barangay Health Station
MARALAG BARANGAY HEALTH STATION,Barangay Health Station
SAN PEDRO BARANGAY HEALTH STATION,Barangay Health Station
SENOTE BARANGAY HEALTH STATION,Barangay Health Station
UPPER TIMONAN BARANGAY HEALTH STATION,Barangay Health Station
BAGONG OROQUIETA BARANGAY HEALTH STATION,Barangay Health Station
BALONGATING BARANGAY HEALTH STATION,Barangay Health Station
CANUNAN BARANGAY HEALTH STATION,Barangay Health Station
GUIPOS RURAL HEALTH UNIT,Rural Health Unit
POBLACION BARANGAY HEALTH STATION,Barangay Health Station
BOGO CALABAT BARANGAY HEALTH STATION,Barangay Health Station
JOSEFINA RURAL HEALTH UNIT,Rural Health Unit
JOSEFINA RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
LEONARDO BARANGAY HEALTH STATION,Barangay Health Station
LOWER BAGONG TUDELA BARANGAY HEALTH STATION,Barangay Health Station
MORADJI BARANGAY HEALTH STATION,Barangay Health Station
NEMEÑO BARANGAY HEALTH STATION,Barangay Health Station
NOPULAN BARANGAY HEALTH STATION,Barangay Health Station
TAGAYTAY HILLS BARANGAY HEALTH STATION,Barangay Health Station
BOYUGAN EAST BARANGAY HEALTH STATION,Barangay Health Station
DIPLO BARANGAY HEALTH STATION,Barangay Health Station
KUMALARANG RURAL HEALTH UNIT,Rural Health Unit
KUMALARANG RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
PANGI BARANGAY HEALTH STATION,Barangay Health Station
PICANAN BARANGAY HEALTH STATION,Barangay Health Station
POBLACION BARANGAY HEALTH STATION,Barangay Health Station
SECADE BARANGAY HEALTH STATION,Barangay Health Station
AR DRUG TESTING LABORATORY,Drug Testing Laboratory
BALIMBINGAN BARANGAY HEALTH STATION,Barangay Health Station
BOKONG BARANGAY HEALTH STATION,Barangay Health Station
BULANIT BARANGAY HEALTH STATION,Barangay Health Station
KUTA MAJOR CESAR L. SANG-AN STATION HOSPITAL,Infirmary
"KUTA MAJOR CESAR L. SANG-AN STATION HOSPITAL, DRUG TESTING LABORATORY",Drug Testing Laboratory
LABANGAN BARANGAY HEALTH STATION,Barangay Health Station
LABANGAN RURAL HEALTH UNIT,Rural Health Unit
LANGAPOD BARANGAY HEALTH STATION,Barangay Health Station
LANTIAN BARANGAY HEALTH STATION,Barangay Health Station
MANUPAC DOCTORS HEALTHCARE,Infirmary
RURAL HEALTH UNIT LABANGAN BIRTHING HOME,Birthing Home
TAWAGAN NORTE BARANGAY HEALTH STATION,Barangay Health Station
BAGONG KAHAYAG BARANGAY HEALTH STATION,Barangay Health Station
BAKING BARANGAY HEALTH STATION,Barangay Health Station
GASA BARANGAY HEALTH STATION,Barangay Health Station
HORIZON MEDICAL CLINIC,Infirmary
LAKEWOOD RURAL HEALTH UNIT,Rural Health Unit
RURAL HEALTH UNIT - LAKEWOOD,Birthing Home
TUBOD BARANGAY HEALTH STATION,Barangay Health Station
BARANGAY HEALTH STATION - BULAWAN,Birthing Home
BULAWAN BARANGAY HEALTH STATION,Barangay Health Station
LAPUYAN RURAL HEALTH UNIT,Rural Health Unit
MANDEG BARANGAY HEALTH STATION,Barangay Health Station
MARUING BARANGAY HEALTH STATION,Barangay Health Station
MARUING BARANGAY HEALTH STATION BIRTHING HOME,Birthing Home
POBLACION BARANGAY HEALTH STATION,Barangay Health Station
SAN JOSE BARANGAY HEALTH STATION,Barangay Health Station
TIGUHA BARANGAY HEALTH STATION,Barangay Health Station
TIGUHA BARANGAY HEALTH STATION BIRTHING HOME,Birthing Home
TININGHALANG BARANGAY HEALTH STATION,Barangay Health Station
BONIAO BARANGAY HEALTH STATION,Barangay Health Station
LORENZO TAN MULTI-PURPOSE COOPERATIVE HOSPITAL,Hospital
LOWER SALUG DAKU BARANGAY HEALTH STATION,Barangay Health Station
MAHAYAG MUNICIPAL HOSPITAL,Infirmary
MAHAYAG RURAL HEALTH UNIT,Rural Health Unit
PANAGAAN BARANGAY HEALTH STATION,Barangay Health Station
POBLACION BARANGAY HEALTH STATION,Barangay Health Station
SAN ISIDRO BARANGAY HEALTH STATION,Barangay Health Station
SAN JOSE BARANGAY HEALTH STATION,Barangay Health Station
TUMAPIC BARANGAY HEALTH STATION,Barangay Health Station
UPPER SANTO NIÑO BARANGAY HEALTH STATION,Barangay Health Station
BALINTAWAK BARANGAY HEALTH STATION,Barangay Health Station
IGAT ISLAND BARANGAY HEALTH STATION,Barangay Health Station
KALIAN BARANGAY HEALTH STATION,Barangay Health Station
LUMBOG BARANGAY HEALTH STATION,Barangay Health Station
MARGOSATUBIG REGIONAL HOSPITAL,Hospital
MARGOSATUBIG RURAL HEALTH UNIT,Rural Health Unit
MARGOSATUBIG RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
MRH BUCAS,Bagong Urgent Care and Ambulatory Service
POBLACION BARANGAY HEALTH STATION,Barangay Health Station
TEGUI-AN BARANGAY HEALTH STATION,Barangay Health Station
BIBILOP BARANGAY HEALTH STATION,Barangay Health Station
BULORON BARANGAY HEALTH STATION,Barangay Health Station
CANIPAY NORTE BARANGAY HEALTH STATION,Barangay Health Station
GOLICTOP BARANGAY HEALTH STATION,Barangay Health Station
MIDSALIP BIRTHING HOME,Birthing Home
MIDSALIP RURAL HEALTH UNIT,Rural Health Unit
NEW KATIPUNAN BARANGAY HEALTH STATION,Barangay Health Station
PISOMPONGAN BARANGAY HEALTH STATION,Barangay Health Station
POBLACION B BARANGAY HEALTH STATION,Barangay Health Station
SIGAPOD BARANGAY HEALTH STATION,Barangay Health Station
ARIOSA BARANGAY HEALTH STATION,Barangay Health Station
BAGONG ARGAO BARANGAY HEALTH STATION,Barangay Health Station
BLANCIA HOSPITAL,Hospital
CULO BARANGAY HEALTH STATION,Barangay Health Station
DALAON BARANGAY HEALTH STATION,Barangay Health Station
MADASIGON BARANGAY HEALTH STATION,Barangay Health Station
MALOLOY-ON BARANGAY HEALTH STATION,Barangay Health Station
MILIGAN BARANGAY HEALTH STATION,Barangay Health Station
MOLAVE MATERNITY CLINIC,Birthing Home
MOLAVE RURAL HEALTH UNIT,Rural Health Unit
PARASAN BARANGAY HEALTH STATION,Barangay Health Station
SALUG VALLEY MEDICAL CENTER,Hospital
SIMATA BARANGAY HEALTH STATION,Barangay Health Station
SIMATA BARANGAY HEALTH STATION BIRTHING HOME,Birthing Home
BALABAWAN BARANGAY HEALTH STATION,Barangay Health Station
PITOGO RURAL HEALTH UNIT,Rural Health Unit
PITOGO RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
POBLACION BARANGAY HEALTH STATION,Barangay Health Station
PUNTA FLECHA BARANGAY HEALTH STATION,Barangay Health Station
SUGBAY II BARANGAY HEALTH STATION,Barangay Health Station
UPPER PANIKI-AN BARANGAY HEALTH STATION,Barangay Health Station
CAMPO V BARANGAY HEALTH STATION,Barangay Health Station
ESPERANZA BARANGAY HEALTH STATION,Barangay Health Station
GAPASAN BARANGAY HEALTH STATION,Barangay Health Station
KATIPUNAN BARANGAY HEALTH STATION,Barangay Health Station
POBLACION BARANGAY HEALTH STATION,Barangay Health Station
RAMON MAGSAYSAY RURAL HEALTH UNIT,Rural Health Unit
RAMON MAGSAYSAY RURAL HEALTH UNIT BIRTHING FACILITY,Birthing Home
SAPA ANDING BARANGAY HEALTH STATION,Barangay Health Station
SINAGUING BARANGAY HEALTH STATION,Barangay Health Station
BULAWAN BARANGAY HEALTH STATION,Barangay Health Station
FATIMA BARANGAY HEALTH STATION,Barangay Health Station
LIMONAN BARANGAY HEALTH STATION,Barangay Health Station
MATI BARANGAY HEALTH STATION,Barangay Health Station
POBLACION BARANGAY HEALTH STATION,Barangay Health Station
SAN MIGUEL RURAL HEALTH UNIT,Rural Health Unit
SAN MIGUEL RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
KAPAMANOK BARANGAY HEALTH STATION,Barangay Health Station
MOLANSONG BARANGAY HEALTH STATION,Barangay Health Station
PAYAG BARANGAY HEALTH STATION,Barangay Health Station
POBLACION BARANGAY HEALTH STATION,Barangay Health Station
SACBULAN BARANGAY HEALTH STATION,Barangay Health Station
SAGASAN BARANGAY HEALTH STATION,Barangay Health Station
SAN PABLO RURAL HEALTH UNIT,Rural Health Unit
SAN PABLO RURAL HEALTH UNIT BIRTHING CENTER,Birthing Home
SONGGOY BARANGAY HEALTH STATION,Barangay Health Station
TANDUBUAY BARANGAY HEALTH STATION,Barangay Health Station
BARUBUHAN BARANGAY HEALTH STATION,Barangay Health Station
EASTERN POBLACION BARANGAY HEALTH STATION,Barangay Health Station
LIBERTAD BARANGAY HEALTH STATION,Barangay Health Station
RIZAL BARANGAY HEALTH STATION,Barangay Health Station
SOMINOT RURAL HEALTH UNIT,Rural Health Unit
SOMINOT RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
UPPER SICPAO BARANGAY HEALTH STATION,Barangay Health Station
BAGANIAN BARANGAY HEALTH STATION,Barangay Health Station
CONCEPCION BARANGAY HEALTH STATION,Barangay Health Station
CULABAY BARANGAY HEALTH STATION,Barangay Health Station
MALIM BARANGAY HEALTH STATION,Barangay Health Station
TABINA RURAL HEALTH UNIT,Rural Health Unit
TABINA RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
ALIYAH BARANGAY HEALTH STATION AND BIRTHING HOME,Birthing Home
BALUGO BARANGAY HEALTH STATION,Barangay Health Station
BALUGO HEALTH STATION AND BIRTHING CENTER,Birthing Home
HAPPY VALLEY COMMUNITY HOSPITAL,Infirmary
HIGHLAND CLUSTER B HEALTH STATION AND BIRTHING CLINIC,Birthing Home
LOWER LIASON BARANGAY HEALTH STATION,Barangay Health Station
LOWER USOGAN BARANGAY HEALTH STATION,Barangay Health Station
LOWER USOGAN BARANGAY HEALTH STATION AND BIRTHING CLINIC,Birthing Home
LOWER USUGAN BARANGAY HEALTH STATION BIRTHING HOME,Birthing Home
SUMALIG BARANGAY HEALTH STATION,Barangay Health Station
SUMALIG BIRTHING CENTER,Birthing Home
TAMBULIG MUNICIPAL HEALTH OFFICE,Birthing Home
TAMBULIG RURAL HEALTH UNIT,Rural Health Unit
TULUAN BARANGAY HEALTH STATION,Barangay Health Station
BEGONG BARANGAY HEALTH STATION,Barangay Health Station
LIBAYOY BARANGAY HEALTH STATION,Barangay Health Station
NILO BARANGAY HEALTH STATION,Barangay Health Station
TIGBAO BARANGAY HEALTH STATION,Barangay Health Station
TIGBAO RURAL HEALTH UNIT,Rural Health Unit
TIGBAO RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
CAMANGA BARANGAY HEALTH STATION,Barangay Health Station
FAMILY CARE BIRTHING HOME,Birthing Home
LAPERIAN BARANGAY HEALTH STATION,Barangay Health Station
MILITAR BARANGAY HEALTH STATION,Barangay Health Station
NAVALAN BARANGAY HEALTH STATION,Barangay Health Station
PANDUMA BARANGAY HEALTH STATION,Barangay Health Station
SANTO NIÑO BARANGAY HEALTH STATION,Barangay Health Station
TINOTUNGAN BARANGAY HEALTH STATION,Barangay Health Station
TUKURAN RURAL HEALTH UNIT,Rural Health Unit
TUKURAN RURAL HEALTH UNIT,Birthing Home
AMBULON BARANGAY HEALTH STATION,Barangay Health Station
COGON BARANGAY HEALTH STATION,Barangay Health Station
DANAN BARANGAY HEALTH STATION,Barangay Health Station
KABATAN BARANGAY HEALTH STATION,Barangay Health Station
KAPATAGAN BARANGAY HEALTH STATION,Barangay Health Station
LIMASON BARANGAY HEALTH STATION,Barangay Health Station
LUNIB BARANGAY HEALTH STATION,Barangay Health Station
MACULAY BARANGAY HEALTH STATION,Barangay Health Station
MARAYA BARANGAY HEALTH STATION,Barangay Health Station
SAGUCAN BARANGAY HEALTH STATION,Barangay Health Station
VINCENZO A. SAGUN BEMONC FACILITY,Birthing Home
VINCENZO SAGUN RURAL HEALTH UNIT,Rural Health Unit
WALING-WALING BARANGAY HEALTH STATION,Barangay Health Station
ALICIA DISTRICT HOSPITAL,Infirmary
ALICIA RURAL HEALTH UNIT,Rural Health Unit
DAWA-DAWA BARANGAY HEALTH STATION,Barangay Health Station
KAWAYAN BARANGAY HEALTH STATION,Barangay Health Station
LUTIMAN BARANGAY HEALTH STATION,Barangay Health Station
MILAGROSA BARANGAY HEALTH STATION,Barangay Health Station
NAGA-NAGA BARANGAY HEALTH STATION,Barangay Health Station
PANDAN-PANDAN BARANGAY HEALTH STATION,Barangay Health Station
POBLACION BARANGAY HEALTH STATION,Barangay Health Station
TALAPTAP BARANGAY HEALTH STATION,Barangay Health Station
TANDIONG MUSLIM BARANGAY HEALTH STATION,Barangay Health Station
TIMBANG-TIMBANG BARANGAY HEALTH STATION,Barangay Health Station
BUUG DIAGNOSTIC LABORATORY,Drug Testing Laboratory
BUUG RURAL HEALTH UNIT,Rural Health Unit
BUUG RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
COMPOSTELA BARANGAY HEALTH STATION,Barangay Health Station
DEL MONTE BARANGAY HEALTH STATION,Barangay Health Station
LABRADOR BARANGAY HEALTH STATION,Barangay Health Station
MAGANAY BARANGAY HEALTH STATION,Barangay Health Station
MANLIN BARANGAY HEALTH STATION,Barangay Health Station
POBLACION BARANGAY HEALTH STATION,Barangay Health Station
REDOBLE MEDICAL CLINIC,Infirmary
"ST. JOHN GENERAL HOSPITAL OF BUUG, INC.",Infirmary
VILLACASTOR BARANGAY HEALTH STATION,Barangay Health Station
BALANGAO BARANGAY HEALTH STATION,Barangay Health Station
BALAY PAANAKAN NANG GUINOMAN,Birthing Home
DIPALAHAN MAIN HEALTH CENTER,Barangay Health Station
DIPLAHAN RURAL HEALTH UNIT,Rural Health Unit
DIPLAHAN RURAL HEALTH UNIT PRIMARY CARE FACILITY,Birthing Home
GUINOMAN BARANGAY HEALTH STATION,Barangay Health Station
LUOP BARANGAY HEALTH STATION,Barangay Health Station
SANTA CRUZ BARANGAY HEALTH STATION,Barangay Health Station
SONGCUYA BARANGAY HEALTH STATION,Barangay Health Station
WILFREDO C. PALMA MEMORIAL HOSPITAL,Infirmary
DUMPOC BARANGAY HEALTH STATION,Barangay Health Station
GANDIANGAN BARANGAY HEALTH STATION,Barangay Health Station
GUINTOLAN BARANGAY HEALTH STATION,Barangay Health Station
IMELDA RURAL HEALTH UNIT,Birthing Home
IMELDA RURAL HEALTH UNIT,Rural Health Unit
LA VICTORIA BARANGAY HEALTH STATION,Barangay Health Station
LANCETA MEDICAL HOSPITAL,Infirmary
LUMBOG BARANGAY HEALTH STATION,Barangay Health Station
POBLACION BARANGAY HEALTH STATION,Barangay Health Station
SAN JOSE BARANGAY HEALTH STATION,Barangay Health Station
STA. BARBARA BARANGAY HEALTH STATION,Barangay Health Station
AJ DIAGNOSTIC LABORATORY,Drug Testing Laboratory
BACALAN BARANGAY HEALTH STATION,Barangay Health Station
BULUAN BARANGAY HEALTH STATION,Barangay Health Station
DEMEGILLO MATERNITY CLINIC,Birthing Home
DON ANDRES BARANGAY HEALTH STATION,Barangay Health Station
DR. GEORGE TOCAO HOFER MEDICAL CENTER,Hospital
DR. HENRY M. DE VILLA MEMORIAL HOSPITAL,Hospital
FCC INFIRMARY,Infirmary
IPIL DOCTORS HOSPITAL,Hospital
IPIL MUNICIPAL HEALTH OFFICE BEMONC,Birthing Home
IPIL RURAL HEALTH UNIT,Rural Health Unit
LABE BARANGAY HEALTH STATION,Barangay Health Station
LUMBIA BARANGAY HEALTH STATION,Barangay Health Station
M. SIMON HOSPITAL & PHARMACY,Hospital
MAC-V BIRTHING CLINIC,Birthing Home
MAGDAUP BARANGAY HEALTH STATION,Barangay Health Station
MAKILAS BARANGAY HEALTH STATION,Barangay Health Station
MOTHER AND CHILD MATERNITY CLINIC,Birthing Home
ODJ MEDICAL DIAGNOSTICS CLINIC AND PHARMACY,Drug Testing Laboratory
PAG-ASA DIALYSIS AND DIAGNOSTIC CENTER,Dialysis Clinic
PAG-ASA DIALYSIS AND DIAGNOSTIC CENTER,Dialysis Clinic
PANGI BARANGAY HEALTH STATION,Barangay Health Station
POBLACION BARANGAY HEALTH STATION,Barangay Health Station
SANITO BARANGAY HEALTH STATION,Barangay Health Station
TAWAY BARANGAY HEALTH STATION,Barangay Health Station
TENAN BARANGAY HEALTH STATION,Barangay Health Station
TIAYON BARANGAY HEALTH STATION,Barangay Health Station
TRUELAB DIAGNOSTIC LABORATORY,Drug Testing Laboratory
VETERANS VILLAGE BARANGAY HEALTH STATION,Barangay Health Station
WELL FAMILY MIDWIFE CLINIC,Birthing Home
ZAMBOANGA SIBUGAY DIAGNOSTIC CLINICAL LABORATORY & DRUG TESTING CENTER,Drug Testing Laboratory
ZAMBOANGA SIBUGAY PROVINCIAL DEPARTMENT OF HEALTH OFFICE,Provincial Department of Health Office
ZAMBOANGA SIBUGAY PROVINCIAL HOSPITAL,Hospital
CONCEPCION BARANGAY HEALTH STATION,Barangay Health Station
KABASALAN RURAL HEALTH UNIT,Rural Health Unit
LUMBAYAO BARANGAY HEALTH STATION,Barangay Health Station
NAZARETH BARANGAY HEALTH STATION,Barangay Health Station
PATHFINDER ESTATE HOSPITAL,Hospital
POBLACION BARANGAY HEALTH STATION,Barangay Health Station
SANGHANAN BARANGAY HEALTH STATION,Barangay Health Station
SANGHANAN BARANGAY HEALTH STATION,Barangay Health Station
SIMBOL BARANGAY HEALTH STATION,Barangay Health Station
TIGBANGAGAN BARANGAY HEALTH STATION,Barangay Health Station
BANGKAW-BANGKAW BARANGAY HEALTH STATION,Barangay Health Station
CALIRAN BARANGAY HEALTH STATION,Barangay Health Station
CATIPAN BARANGAY HEALTH STATION,Barangay Health Station
MABUHAY RURAL HEALTH UNIT,Rural Health Unit
POBLACION BARANGAY HEALTH STATION,Barangay Health Station
SAN ROQUE BARANGAY HEALTH STATION,Barangay Health Station
TAGUISIAN BARANGAY HEALTH STATION,Barangay Health Station
CAMANGA BARANGAY HEALTH STATION,Barangay Health Station
CANDIIS BARANGAY HEALTH STATION,Barangay Health Station
CATITUAN BARANGAY HEALTH STATION,Barangay Health Station
KIGAY BARANGAY HEALTH STATION,Barangay Health Station
LA DICHA BARANGAY HEALTH STATION,Barangay Health Station
MABINI BARANGAY HEALTH STATION,Barangay Health Station
MALANGAS EMERGENCY INFIRMARY,Infirmary
MALANGAS RURAL HEALTH UNIT,Rural Health Unit
SAN VICENTE BARANGAY HEALTH STATION,Barangay Health Station
AGUINALDO BARANGAY HEALTH STATION,Barangay Health Station
BAGA BARANGAY HEALTH STATION,Barangay Health Station
BALUNO BARANGAY HEALTH STATION,Barangay Health Station
BANGKAW BANGKAW BARANGAY HEALTH STATION,Barangay Health Station
