Facility Name,Health Facility Type
LUMBAC WATO BARANGAY HEALTH STATION,Barangay Health Station
TANTUA RAYA BARANGAY HEALTH STATION,Barangay Health Station
BAYANG RURAL HEALTH UNIT,Rural Health Unit
LIONG BARANGAY HEALTH STATION,Barangay Health Station
PARAO BARANGAY HEALTH STATION,Barangay Health Station
TUCA BARANGAY HEALTH STATION,Barangay Health Station
BINIDAYAN RURAL HEALTH UNIT,Rural Health Unit
UNAYAN MUNICIPAL HOSPITAL,Hospital
BUADI PUSO BUNTONG BARANGAY HEALTH STATION,Barangay Health Station
BUADIPOSO BUNTONG RURAL HEALTH UNIT,Rural Health Unit
BUADIPUSO BUNTONG RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
BUBONG BARANGAY HEALTH STATION,Barangay Health Station
LUMBAC BARANGAY HEALTH STATION,Barangay Health Station
BANSAYAN BARANGAY HEALTH STATION,Barangay Health Station
BUBONG RURAL HEALTH UNIT,Rural Health Unit
BUBONG RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
ROGERO BARANGAY HEALTH STATION,Barangay Health Station
BAYABAO BARANGAY HEALTH STATION,Barangay Health Station
BUTIG BARANGAY HEALTH STATION,Barangay Health Station
BUTIG RURAL HEALTH UNIT,Rural Health Unit
BUTIG RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
CALANOGAS RURAL HEALTH UNIT,Rural Health Unit
CALANOGAS RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
NGINGIRBARANGAY HEALTH STATION,Barangay Health Station
PANTAON BARANGAY HEALTH STATION,Barangay Health Station
AL-SHIEK HOSPITAL II,Infirmary
AMAI PAKPAK MEDICAL CENTER,Drug Testing Laboratory
AMAI PAKPAK MEDICAL CENTER,Clinical Laboratory for Molecular Pathology
AMAI PAKPAK MEDICAL CENTER,Hospital
AMAI PAKPAK MEDICAL CENTER (CARTRIDGE - BASED PCR),COVID-19 Testing Laboratory
AMAI PAKPAK MEDICAL CENTER (RT-PCR),COVID-19 Testing Laboratory
AMITO MARANTAO RURAL HEALTH UNIT,Rural Health Unit
BANGCO BARANGAY HEALTH STATION,Barangay Health Station
BANGGOLO POBLACION HEALTH POST,Barangay Health Station
BANGON BARANGAY HEALTH STATION,Barangay Health Station
BARRIO MARAWI (MARAWI POBLACION) BARANGAY HEALTH POST,Barangay Health Station
BASAK MALUTLUT BARANGAY HEALTH STATION,Barangay Health Station
BOTO AMBOLONG BARANGAY HEALTH POST,Barangay Health Station
BUBONG LUMBAC BARANGAY HEALTH STATION,Barangay Health Station
BUBONGA LILOD MADAYA BARANGAY HEALTH STATION,Barangay Health Station
BUBONGA PUNOD BARANGAY HEALTH STATION,Barangay Health Station
CABINGAN RURAL HEALTH UNIT,Rural Health Unit
CADAYONAN BARANGAY HEALTH POST,Barangay Health Station
CADAYONAN I BARANGAY HEALTH POST,Barangay Health Station
CALOCAN EAST BARANGAY HEALTH STATION,Barangay Health Station
DAGUDUBAN BARANGAY HEALTH POST,Barangay Health Station
DANSALAN BARANGAY HEALTH POST,Barangay Health Station
DAYAWAN BARANGAY HEALTH POST,Barangay Health Station
DIMALUNA BARANGAY HEALTH STATION,Barangay Health Station
DR. ABDULLAH HOSPITAL FOUNDATION INC.,Hospital
DULAY PROPER BARANGAY HEALTH POST,Barangay Health Station
DULAY WEST BARANGAY HEALTH POST,Barangay Health Station
EMIE PUNUD BARANGAY HEALTH POST,Barangay Health Station
GADONGAN BARANGAY HEALTH STATION,Barangay Health Station
GUIMBA (LILOD PROPER) BARANGAY HEALTH POST,Barangay Health Station
HIJRAH INFIRMARY,Infirmary
KAPANTARAN RURAL HEALTH UNIT,Rural Health Unit
KILALA BARANGAY HEALTH POST,Barangay Health Station
LILOD MADAYA BARANGAY HEALTH POST,Barangay Health Station
LOMIDONG BARANGAY HEALTH POST,Barangay Health Station
LUMBACA MADAYA BARANGAY HEALTH STATION,Barangay Health Station
MAPANDI MEMORIAL HOSPITAL,Infirmary
MARAWI CITY HEALTH OFFICE,Rural Health Unit
MARAWI CITY HEALTH OFFICE BIRTHING HOME,Birthing Home
MARAWI CITY HEALTH UNIT,Birthing Home
"MARAWI DOCTORS MATERNITY, MEDICAL AND CHILDRENS CLINIC",Birthing Home
MARAWI HEMODIALYSIS CENTER INC.,Dialysis Clinic
MARAWI MIDTOWN INFIRMARY,Infirmary
MARINAUT EAST BARANGAY HEALTH POST,Barangay Health Station
MARINAUT WEST BARANGAY HEALTH POST,Barangay Health Station
MATAMPAY BARANGAY HEALTH STATION,Barangay Health Station
MIDTOWN MEDICAL MATERNITY AND AND CHILDRENS CLINIC,Birthing Home
"MINDALANO SPECIALIST HOSPITAL FOUNDATION, INC.",Hospital
MIPAGA PROPER BARANGAY HEALTH POST,Barangay Health Station
MONCADO KADINGILAN BARANGAY HEALTH STATION,Barangay Health Station
NAVARRO (DATU SABER) BARANGAY HEALTH POST,Barangay Health Station
NORHAYA VILLAGE BARANGAY HEALTH STATION,Barangay Health Station
OLAWA AMBOLONG BARANGAY HEALTH STATION,Barangay Health Station
PANGGAO SADUC BARANGAY HEALTH POST,Barangay Health Station
PATANI BARANGAY HEALTH STATION,Barangay Health Station
PINDOLONAN HEALTH POST,Barangay Health Station
PROVINCIAL HEALTH OFFICE BIRTHING HOME,Birthing Home
RANAO DOCTORS POLYCLINIC,Birthing Home
RANAO FAMILY MEDICAL CLINIC,Infirmary
RAYA MADAYA I BARANGAY HEALTH POST,Barangay Health Station
RAYA SADUC BARANGAY HEALTH POST,Barangay Health Station
ROROGAGUS PROPER BARANGAY HEALTH POST,Barangay Health Station
SALAAM HOSPITAL FOUNDATION INC.,Hospital
SHEIK MOTHER AND CHILD CARE CLINIC,Birthing Home
"SMA MEDICAL LABORATORY, DRUGTEST & DIAGNOSTIC CENTER",Drug Testing Laboratory
SUGOD PROPER BARANGAY HEALTH STATION,Barangay Health Station
TIMBANGALAN RURAL HEALTH UNIT,Rural Health Unit
TOLALI BARANGAY HEALTH POST,Barangay Health Station
TOROS BARANGAY HEALTH POST,Barangay Health Station
TUCA AMBOLONG BARANGAY HEALTH POST,Barangay Health Station
WAWALAYAN CALOCAN BARANGAY HEALTH STATION,Barangay Health Station
BARIMBINGAN BARANGAY HEALTH STATION,Barangay Health Station
DITSAAN-RAMAIN RURAL HEALTH UNIT,Rural Health Unit
DITSAAN-RAMAIN RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
LUMBATAN BARANGAY HEALTH STATION,Barangay Health Station
PAGALONGAN BARANGAY HEALTH STATION,Barangay Health Station
GANASSI RURAL HEALTH UNIT,Rural Health Unit
GANNASI RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
KAPAI RURAL HEALTH UNIT,Rural Health Unit
KAPAI RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
PARAO BARANGAY HEALTH STATION,Barangay Health Station
PINDOLONAN BARANGAY HEALTH STATION,Barangay Health Station
KAPATAGAN RURAL HEALTH UNIT,Rural Health Unit
KAPATAGAN RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
PROPER BRANGAY HEALTH STATION,Barangay Health Station
SALAMAN BARANGAY HEALTH STATION,Barangay Health Station
TABUAN BARANGAY HEALTH STATION,Barangay Health Station
LUMBA-BAYABAO RURAL HEALTH UNIT,Rural Health Unit
